"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT09"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-07-01","5.5",,"13.5","0.0","0.0","22.0","25.6","19.4","  190","  180","11.2","14.3","    1",,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-07-02","4.5",,"0.0","0.0","0.0","25.2","31.7","21.7","  180","  180","8.9","11.2","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-07-03","3.5",,"0.0","0.0","0.0","26.2","31.7","21.7","  220","  220","8.9","10.7",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-07-04","2.9",,"0.0","0.0","0.0","25.1","29.4","21.1","   20","   30","7.2","8.5",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-07-05","4.0",,"0.0","0.0","0.0","24.6","28.3","20.6","  130","  130","7.6","9.4",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-07-06","3.7",,"0.0","0.0","0.0","22.6","25.0","20.6","  110","  110","6.3","7.6",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-07-07","4.0",,"48.8","0.0","0.0","22.9","28.3","20.6","  300","  300","11.6","13.4","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-07-08","4.9",,"0.0","0.0","0.0","24.9","30.6","21.1","  270","  260","10.7","12.5","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-07-09","5.1",,"0.0","0.0","0.0","25.0","28.3","20.6","  190","  190","8.9","10.3",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-07-10","5.7",,"0.0","0.0","0.0","23.7","28.3","18.9","  180","  180","12.5","15.2",,,,,,,
